Category,Rank,SalesPerMonth
Toys & Games,1,20068.55
Toys & Games,6,14509.9
Toys & Games,11,12538.75
Toys & Games,16,11331.59
Toys & Games,21,10469.5
Toys & Games,26,9804.2
Toys & Games,31,9265.85
Home & Garden,36,1260.08
Home & Garden,41,1232.47
Home & Garden,46,1206.78
Home & Garden,51,1182.74
Home & Garden,61,1138.81
Home & Garden,71,1099.46
Home & Garden,81,1063.81
Home & Garden,91,1031.25
Home & Garden,101,1001.29
Home & Garden,126,935.61
Home & Garden,151,880.09
Industrial & Scientific,176,2078.28
Industrial & Scientific,201,1919.22
Industrial & Scientific,226,1786.11
Industrial & Scientific,251,1672.68
Industrial & Scientific,276,1574.6
Industrial & Scientific,301,1488.75
Industrial & Scientific,326,1412.86
Industrial & Scientific,351,1345.18
Industrial & Scientific,376,1284.36
Industrial & Scientific,401,1229.37
Industrial & Scientific,426,1179.34
Pet Supplies,451,3658.68
Pet Supplies,476,3528.33
Pet Supplies,501,3407.63
Pet Supplies,551,3190.97
Pet Supplies,601,3001.75
Pet Supplies,651,2834.81
Pet Supplies,701,2686.27
Pet Supplies,751,2553.11
Pet Supplies,801,2432.96
Pet Supplies,851,2323.93
Home & Kitchen,901,5113.57
Home & Kitchen,951,4965.17
Home & Kitchen,1001,4826.51
Home & Kitchen,1051,4696.58
Home & Kitchen,1101,4574.49
Home & Kitchen,1151,4459.49
Home & Kitchen,1201,4350.91
Home & Kitchen,1251,4248.19
Sports & Outdoors,1301,1945.59
Sports & Outdoors,1351,1890.4
Sports & Outdoors,1401,1838.37
Sports & Outdoors,1451,1789.22
Sports & Outdoors,1501,1742.71
Sports & Outdoors,1551,1698.62
Sports & Outdoors,1601,1656.77
Sports & Outdoors,1651,1616.98
Sports & Outdoors,1701,1579.1
Toys & Games,1751,1227.04
Toys & Games,1801,1203.15
Toys & Games,1851,1180.27
Toys & Games,1901,1158.33
Toys & Games,1951,1137.27
Toys & Games,2001,1117.03
Toys & Games,2051,1097.57
Toys & Games,2101,1078.84
Toys & Games,2151,1060.8
Toys & Games,2201,1043.41
Toys & Games,2251,1026.63
